[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001322s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001434s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000936s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run CheckLang Behavior [ RunTime:0.002644s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003732s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | NOTIC: [8] Undefined index: authId CommonAction.class.php 第 50 行.
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | NOTIC: [8] Undefined index: menuid CommonAction.class.php 第 79 行.
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001466s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001577s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015847s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015943s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000915s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000812s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000917s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000915s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003800s ]
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-04-16T10:20:16+08:00 ] /xbsdv5/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002086s ]
